402964,736930.27,97.88 399845,738937.27,103.27 
393795,192611.99,97.97 395075,155931.21,99.76 
417495,1167745.87,105.81 414660,1145964.06,105.88 
382850,973089.3,100.61 444538,1266277.28,101.11 
386510,892884.79,100.92 461655,1271113.29,97.26 
402678,883911.34,104.31 402471,876443.05,98.06 
378260,499587.3,117.03 402048,508022.62,109.28 
371842,1021691.48,97.21 377397,1023199.85,99.47 
428728,962725.73,103.52 374607,859959.44,102.88 
412290,144767.1,96.63 419751,148973.48,96.14 
342630,0,106.51 406146,0,95.47 
370885,0,106.32 387023,0,108.56 
383752,33047.04,111.98 365495,22057.92,100.19 
343193,67899.55,100.78 379513,92009.38,109.91 
402610,96623.62,95.67 417216,73976.08,107.71 

341727,636460.0,110.95 423292,807567.33,105.44 
395298,201925.58,95.51 351841,193574.72,109.31 
415888,1203038.49,92.09 408427,1145650.57,106.3 
471204,1324253.13,97.51 420331,1070159.84,103.77 
417910,1096545.65,86.82 391266,1070035.27,94.05 
408391,880888.45,103.63 376763,840258.55,111.51 
403824,573642.69,102.82 388907,539032.64,96.9 
355699,987749.96,97.04 433904,1767047.35,96.59 
383979,834847.22,105.9 386228,883258.51,99.07 
417123,144905.88,104.48 364248,94861.31,103.08 
335780,0,103.24 371908,0,101.27 
411342,0,100.01 407253,0,107.04 
353113,30060.27,103.12 409690,24921.07,99.36 
430644,98443.59,98.47 415023,67910.72,104.3 
358761,71892.71,100.12 407262,71149.93,100.97 

396313,756126.43,106.96 396674,722401.61,96.21 
375138,176299.95,101.57 422495,209511.89,105.55 
354740,895436.65,97.0 453625,1307940.64,97.92 
350784,837783.44,100.11 393584,1034799.99,104.43 
391030,987557.05,101.0 439345,1224522.68,97.9 
386614,859760.55,108.32 394299,860526.64,102.24 
389017,523774.27,101.45 426716,601208.35,110.06 
458275,1824394.64,85.91 444046,1779428.22,101.16 
411698,908105.82,97.1 365724,842316.46,108.54 
388475,118146.5,102.45 395530,127678.89,108.33 
399159,0,99.42 388108,0,100.41 
392194,0,97.88 391344,0,104.3 
